Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,11403,7.473062217587764,5.7817310981868,0.05393161471254449,-2.3784466428120417,-3.1833837803987053,486.25,475.0,479.05,MIXED
Power Finance Corporation Ltd.,PFC,Financial Services,14299,-11.43007637608638,-17.208271787296894,-20.749381406857548,-7.609890109890107,-4.460227272727269,356.0,350.2,352.0,BEARISH
Power Grid Corporation of India Ltd.,POWERGRID,Power,14977,-4.250681198910078,-11.202830188679243,-7.282321899736144,-2.8924097273397074,-0.9396729937981583,267.35,265.05,266.05,BEARISH
Premier Energies Ltd.,PREMIERENE,Capital Goods,25049,4.245045770043248,45.37420214631408,1.3793778125611338,0.6116504854368888,2.2092908570864953,1019.0,973.0,1013.9,BULLISH
Prestige Estates Projects Ltd.,PRESTIGE,Realty,20302,4.5588423613779,18.565308937776813,1.0394753124613263,-0.17117006969066845,2.8337531486146093,1628.5,1584.5,1588.0,MIXED
Prime Focus Ltd.,PFOCUS,Media Entertainment & Publication,13496,98.49385104324996,4.339930996913015,0.06617672669011797,-6.660168940870695,-2.4116847826086842,299.45,292.35,294.4,MIXED
Punjab National Bank,PNB,Financial Services,10666,13.233544805709762,-9.37723125743752,1.348593736136998,-1.406870360780248,-1.0138648180242649,115.75,114.42,115.4,MIXED
R R Kabel Ltd.,RRKABEL,Capital Goods,18566,150.82655246252676,91.17378247813032,12.509605040725368,2.0383985504721416,0.7985680848134474,2925.0,2840.0,2905.2,BULLISH
RBL Bank Ltd.,RBLBANK,Financial Services,18391,45.70005746025666,21.459364521794683,1.2916111850865573,-1.9716494845360766,-0.4319371727748632,384.7,380.1,382.0,MIXED
REC Ltd.,RECLTD,Financial Services,15355,-7.628571428571425,-4.617200177017253,-13.312776511596722,-1.402866727660862,2.051767676767677,321.95,316.0,316.8,BEARISH
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,31163,-21.603375527426156,-10.972688068998552,-4.362372924977477,-0.800854244527496,0.6091782861784215,373.0,367.85,369.35,BEARISH
RITES Ltd.,RITES,Construction,3761,-10.457060873129736,7.120439387995297,2.031855761595588,-0.7722358499136861,0.6635944700460819,218.5,216.6,217.0,MIXED
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,10990,57.23049956178791,71.90494442315062,3.3219683007740466,-2.5,-2.6058631921824107,4615.0,4574.3,4605.0,MIXED
Rail Vikas Nigam Ltd.,RVNL,Construction,9552,-30.601454064771982,-29.871430956754047,-6.865353911655131,-5.277401894451957,-1.9699374474838944,217.1,214.0,214.22,BEARISH
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,2431,-15.93540524070689,-6.012604326349867,-3.022847100175755,-2.180464456656633,-1.0756543564001435,282.6,278.1,278.9,BEARISH
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,9408,-5.81852073763397,17.842565597667644,-7.257112888422711,-3.1093760701321735,-1.947601885223171,1457.8,1430.6,1442.8,MIXED
Ramkrishna Forgings Ltd.,RKFORGE,Automobile and Auto Components,11411,31.250551584149694,33.728981206726026,14.197957459878682,2.0727522306108472,-1.0183028286189655,753.0,720.15,751.25,BULLISH
Redington Ltd.,REDINGTON,Services,14255,48.53643346481213,36.10424196309681,11.223379449712429,-2.0131470829909675,-2.2540983606557377,378.5,360.0,366.0,MIXED
